date,y10_pct,dy10_bp,in_window_3chg,in_window_2chg,cum_in_3chg_pct,cum_out_3chg_pct,cum_in_2chg_pct,cum_out_2chg_pct,cum_total_pct
1997-09-11,6.494456823355,2.496781982899954,False,False,7.753982017479997,7.838527920673001,8.408975156994993,7.183534781158002,6.494456823355
1997-09-12,6.398984646095,-9.547217725999957,False,False,7.753982017479997,7.743055743413001,8.408975156994993,7.088062603898003,6.398984646094999
1997-09-15,6.387129362654,-1.1855283441000175,False,False,7.753982017479997,7.731200459972001,8.408975156994993,7.076207320457003,6.387129362653999
1997-09-16,6.203560994493,-18.356836816099964,False,False,7.753982017479997,7.547632091811002,8.408975156994993,6.892638952296004,6.203560994493
1997-09-17,6.1964913732,-0.7069621293000594,False,False,7.753982017479997,7.540562470518001,8.408975156994993,6.885569331003003,6.196491373199999
1997-09-18,6.204641852129,0.8150478929000116,False,False,7.753982017479997,7.548712949447001,8.408975156994993,6.893719809932003,6.204641852128999
1997-09-19,6.186057922451,-1.8583929677999933,False,False,7.753982017479997,7.530129019769001,8.408975156994993,6.875135880254003,6.186057922450999
1997-09-22,6.155464723268,-3.059319918299952,False,False,7.753982017479997,7.499535820586002,8.408975156994993,6.844542681071003,6.155464723268
1997-09-23,6.19192899445,3.646427118199913,False,False,7.753982017479997,7.536000091768001,8.408975156994993,6.881006952253002,6.191928994449999
1997-09-24,6.140418459574,-5.151053487599988,False,False,7.753982017479997,7.484489556892001,8.408975156994993,6.829496417377002,6.140418459573999
1997-09-25,6.231627994524,9.120953494999997,False,False,7.753982017479997,7.575699091842001,8.408975156994993,6.920705952327002,6.231627994523999
1997-09-26,6.183084846167,-4.854314835700002,False,False,7.753982017479997,7.527155943485001,8.408975156994993,6.872162803970002,6.183084846166999
1997-09-29,6.197586055355,1.4501209188000352,True,False,7.768483226667997,7.527155943485001,8.408975156994993,6.886664013158002,6.197586055355
1997-09-30,6.216372357983,1.8786302628000409,True,True,7.787269529295997,7.527155943485001,8.427761459622994,6.886664013158002,6.216372357983
1997-10-01,6.135991239138,-8.038111884500054,True,True,7.706888410450997,7.527155943485001,8.347380340777994,6.886664013158002,6.135991239137999
1997-10-02,6.110436476245,-2.555476289299996,False,False,7.706888410450997,7.501601180592001,8.347380340777994,6.861109250265002,6.110436476244999
1997-10-03,6.106947364542,-0.3489111702999814,False,False,7.706888410450997,7.498112068889001,8.347380340777994,6.857620138562003,6.106947364542
1997-10-06,6.068647847992,-3.829951655000041,False,False,7.706888410450997,7.459812552339001,8.347380340777994,6.819320622012002,6.068647847991999
1997-10-07,6.042589149596,-2.6058698395999613,False,False,7.706888410450997,7.433753853943001,8.347380340777994,6.793261923616003,6.042589149595999
1997-10-08,6.181856594442,13.926744484600029,False,False,7.706888410450997,7.573021298789001,8.347380340777994,6.932529368462003,6.181856594441999
1997-10-09,6.192831178966,1.0974584523999908,False,False,7.706888410450997,7.583995883313001,8.347380340777994,6.943503952986003,6.192831178965999
1997-10-10,6.261369272855,6.85380938889999,False,False,7.706888410450997,7.652533977202001,8.347380340777994,7.012042046875003,6.261369272854999
1997-10-14,6.178810869194,-8.255840366100031,False,False,7.706888410450997,7.569975573541001,8.347380340777994,6.929483643214002,6.178810869194
1997-10-15,6.212856146793,3.404527759900056,False,False,7.706888410450997,7.604020851140001,8.347380340777994,6.963528920813003,6.212856146793
1997-10-16,6.208576498343,-0.4279648450000728,False,False,7.706888410450997,7.599741202690001,8.347380340777994,6.959249272363002,6.208576498343
1997-10-17,6.274182137737,6.560563939400055,False,False,7.706888410450997,7.665346842084001,8.347380340777994,7.024854911757003,6.274182137737
1997-10-20,6.252000793617,-2.2181344119999835,False,False,7.706888410450997,7.643165497964001,8.347380340777994,7.002673567637003,6.252000793617
1997-10-21,6.242775579845,-0.9225213771999918,False,False,7.706888410450997,7.633940284192001,8.347380340777994,6.993448353865003,6.242775579845
1997-10-22,6.232416400578,-1.0359179267000584,False,False,7.706888410450997,7.623581104925001,8.347380340777994,6.983089174598003,6.232416400578
1997-10-23,6.141276946586,-9.113945399199965,False,False,7.706888410450997,7.532441650933001,8.347380340777994,6.891949720606004,6.141276946586
1997-10-24,6.109547896071,-3.1729050515000523,False,False,7.706888410450997,7.500712600418001,8.347380340777994,6.860220670091003,6.109547896071
1997-10-27,6.026094208729,-8.345368734199976,False,False,7.706888410450997,7.417258913076001,8.347380340777994,6.7767669827490025,6.026094208729001
1997-10-28,6.077775505171,5.168129644200015,False,False,7.706888410450997,7.468940209518001,8.347380340777994,6.828448279191003,6.077775505171001
1997-10-29,6.010366894996,-6.740861017499977,False,False,7.706888410450997,7.401531599343001,8.347380340777994,6.761039669016004,6.010366894996001
1997-10-30,5.945222397733,-6.5144497263000645,False,False,7.706888410450997,7.336387102080001,8.347380340777994,6.695895171753003,5.945222397733
1997-10-31,5.938306274231,-0.6916123501999216,False,False,7.706888410450997,7.3294709785780014,8.347380340777994,6.688979048251003,5.938306274231001
1997-11-03,6.007474481635,6.9168207403999205,False,False,7.706888410450997,7.398639185982001,8.347380340777994,6.758147255655002,6.0074744816350005
1997-11-04,6.044531520114,3.7057038479000326,False,False,7.706888410450997,7.435696224461001,8.347380340777994,6.7952042941340025,6.044531520114001
1997-11-05,6.031355204978,-1.3176315135999594,False,False,7.706888410450997,7.422519909325,8.347380340777994,6.782027978998003,6.031355204978001
1997-11-06,5.982025543215,-4.932966176300013,False,False,7.706888410450997,7.373190247562001,8.347380340777994,6.732698317235003,5.982025543215001
