date,source,n,mean,median,sd,iqr,min,max,range
2018-06-13,table2_compilation,14,0.8660714285714286,0.875,0.3005362978519078,0.25,0.25,1.5,1.25
2018-09-26,table2_compilation,15,0.8833333333333333,1.0,0.2718251071716682,0.25,0.5,1.5,1.0
2018-12-19,table2_compilation,16,0.84375,0.75,0.27775607554111215,0.3125,0.5,1.5,1.0
2019-03-20,table2_compilation,16,0.796875,0.75,0.2960514893983815,0.5,0.5,1.5,1.0
2019-06-19,table2_compilation,16,0.6953125,0.5,0.2758819309845246,0.3125,0.375,1.25,0.875
2019-09-18,table2_compilation,16,0.5703125,0.5,0.2793992928476198,0.25,0.0,1.25,1.25
2019-12-11,table2_compilation,16,0.5390625,0.5,0.2854504047882048,0.09375,0.0,1.25,1.25
2020-06-10,table2_compilation,16,0.4953125,0.5,0.24909504178877184,0.14375000000000004,0.0,1.0,1.0
2020-09-16,table2_compilation,16,0.4953125,0.5,0.24909504178877184,0.14375000000000004,0.0,1.0,1.0
2020-12-16,table2_compilation,16,0.4953125,0.5,0.24909504178877184,0.14375000000000004,0.0,1.0,1.0
2021-03-17,figure2_dotplot,17,0.47794117647058826,0.5,0.25086356042988206,0.25,0.0,1.0,1.0
2021-06-16,figure2_dotplot,17,0.47794117647058826,0.5,0.25086356042988206,0.25,0.0,1.0,1.0
2021-09-22,figure2_dotplot,17,0.4632352941176471,0.5,0.24164230478169094,0.25,0.0,1.0,1.0
2021-12-15,figure2_dotplot,17,0.4632352941176471,0.5,0.24164230478169094,0.25,0.0,1.0,1.0
2022-03-16,figure2_dotplot,15,0.425,0.375,0.26536138880151094,0.25,0.0,1.0,1.0
2022-06-15,figure2_dotplot,17,0.4338235294117647,0.5,0.25043215244009415,0.25,0.0,1.0,1.0
2022-09-21,figure2_dotplot,18,0.4722222222222222,0.5,0.22265582697057498,0.25,0.25,1.0,0.75
2022-12-14,figure2_dotplot,18,0.5069444444444444,0.5,0.248160672016745,0.125,0.25,1.25,1.0
2023-03-22,figure2_dotplot,17,0.5882352941176471,0.5,0.3581116371142917,0.125,0.25,1.625,1.375
2023-06-14,figure2_dotplot,17,0.6617647058823529,0.5,0.32866906821510306,0.25,0.375,1.625,1.25
2023-09-20,figure2_dotplot,18,0.7569444444444444,0.5,0.4611132028065008,0.40625,0.375,1.75,1.375
2023-12-13,figure2_dotplot,18,0.7291666666666666,0.5,0.41718717488543305,0.34375,0.375,1.75,1.375
2024-03-20,figure2_dotplot,18,0.8125,0.5625,0.4108975609024171,0.5,0.375,1.75,1.375
2024-06-12,figure2_dotplot,19,0.9078947368421053,0.75,0.4152561536331448,0.5625,0.375,1.75,1.375
2024-09-18,figure2_dotplot,19,0.993421052631579,0.875,0.41650504714064246,0.6875,0.375,1.75,1.375
2024-12-18,figure2_dotplot,19,1.111842105263158,1.0,0.4251445900369345,0.625,0.375,1.875,1.5
2025-03-19,figure2_dotplot,19,1.111842105263158,1.0,0.42125817351531897,0.625,0.5,1.875,1.375
2025-06-18,figure2_dotplot,19,1.111842105263158,1.0,0.42125817351531897,0.625,0.5,1.875,1.375
2025-09-17,figure2_dotplot,19,1.118421052631579,1.0,0.37274251247934986,0.5625,0.625,1.875,1.25
2025-12-10,figure2_dotplot,19,1.131578947368421,1.0,0.3638104358604866,0.4375,0.625,1.875,1.25
2026-03-18,figure2_dotplot,19,1.1644736842105263,1.125,0.3370065388122552,0.375,0.625,1.875,1.25
