date,horizon,n,mean,median,sd,iqr,range,full_cross_section
2022-03-16,2024,16,2.7890625,2.75,0.4974912648416553,0.8125,1.5,True
2022-03-16,LR,15,2.425,2.375,0.26536138880151094,0.25,1.0,True
2022-06-15,2022,18,3.388888888888889,3.375,0.2120046878121354,0.375,0.75,True
2022-06-15,2023,18,3.7777777777777777,3.75,0.3347769664776097,0.4375,1.5,True
2022-06-15,2024,18,3.2569444444444446,3.375,0.4795690741838763,0.25,2.0,True
2022-06-15,LR,17,2.4338235294117645,2.5,0.25043215244009415,0.25,1.0,True
2022-09-21,2022,19,4.256578947368421,4.375,0.1695276148253306,0.25,0.75,True
2022-09-21,2023,19,4.5855263157894735,4.625,0.2598476007648881,0.5,1.0,True
2022-09-21,2024,19,3.7565789473684212,3.875,0.5402753991486265,0.75,2.0,True
2022-09-21,2025,19,3.0065789473684212,2.875,0.5523182068898778,0.625,2.25,True
2022-09-21,LR,18,2.4722222222222223,2.5,0.22265582697057498,0.25,0.75,True
2022-12-14,2022,19,4.375,4.375,0.0,0.0,0.0,True
2022-12-14,2023,19,5.217105263157895,5.125,0.20213541441759494,0.25,0.75,True
2022-12-14,2024,19,4.296052631578948,4.125,0.5907880084379907,0.75,2.5,True
2022-12-14,2025,19,3.3223684210526314,3.125,0.7590634264134715,0.875,3.25,True
2022-12-14,LR,18,2.5069444444444446,2.5,0.24816067201674497,0.125,1.0,True
2023-03-22,2023,18,5.277777777777778,5.125,0.2519216270446813,0.25,1.0,True
2023-03-22,2024,18,4.402777777777778,4.25,0.5886005583449192,0.5,2.25,True
2023-03-22,2025,18,3.3333333333333335,3.125,0.7557648811340439,0.6875,3.25,True
2023-03-22,LR,17,2.588235294117647,2.5,0.3581116371142917,0.125,1.375,True
2023-06-14,2023,18,5.569444444444445,5.625,0.2437490107608923,0.25,1.0,True
2023-06-14,2024,18,4.75,4.625,0.5667279378639768,0.75,2.25,True
2023-06-14,2025,18,3.5833333333333335,3.375,0.8217951218048342,0.9375,3.25,True
2023-06-14,LR,17,2.661764705882353,2.5,0.32866906821510306,0.25,1.25,True
2023-09-20,2023,19,5.532894736842105,5.625,0.12059409723568003,0.25,0.25,True
2023-09-20,2024,19,5.046052631578948,5.125,0.42960072940301336,0.625,1.75,True
2023-09-20,2025,19,3.9671052631578947,3.875,0.8119604537127111,1.0,3.0,True
2023-09-20,2026,19,3.223684210526316,2.875,0.8646749345171696,1.375,2.5,True
